Area name,Area budget,,,,,,,,,
Vesturbær,https://betrireykjavik.is/post/45702,4,,,Fleiri bekki í hverfið,Verkefnið felur í sér að fjölga bekkjum á völdum stöðum í hverfinu.,More benches in the neighbourhood,The project entails putting more benches in select locations in the neighbourhood.,Zwiększenie ilości ławek w dzielnicy,Projekt zakłada zwiększenie ilości ławek w wybranych miejscach w dzielnicy.
Vesturbær,https://betrireykjavik.is/post/45772,1,"64.142145, -21.958767",,Teqball völlur hjá Hagaskóla,Verkefnið felur í sér að setja upp Teqball völl fyrir aftan tennisvöll við íþróttahús Hagaskóla.,Teqball court by Hagaskóli,The project entails setting up a Teqball court behind the tennis court by the Hagaskóli sports centre.,Plac do gry w piłkę Teqball przy Hagaskóli,Projekt zakłada utworzenie placu do gry w piłkę Teqball za boiskiem do tenisa przy sali sportowej w Hagaskóli.
Vesturbær,https://betrireykjavik.is/post/45751,5,"64.143862, -21.972424",,Sparkvöllur við Sörlaskjól,Verkefnið felur í sér að endurgera sparkvöll á milli Sörlaskjóls og Faxaskjóls með endurtyrfingu og uppfærðum búnaði.,Mini football pitch on Sörlaskjól,The project entails resurfacing the mini football pitch between Sörlaskjól and Faxaskjól and updating the equipment.,Boisko do piłki przy Sörlaskjól,Projekt zakłada renowację boiska pomiędzy Sörlaskjól a Faxaskjól: przegląd i zaktualizowanie sprzętu.
Vesturbær,https://betrireykjavik.is/post/45830,18,,,Hlaupabraut: Sprettir allt árið,Verkefnið felur í sér að setja upp 100m hlaupabraut við hliðina á sparkvellinum við Ægissíðu.,Running track: sprints all year round,The project entails setting up a 100m running track beside the mini football pitch on Ægisíða.,Bieżnia do biegania: biegi przez cały rok,Projekt zakłada utworzenie 100 m bieżni z boku boiska przy Ægissíða.
Vesturbær,https://betrireykjavik.is/post/45804,16,,,Parkour völlur,Verkið felur í sér að setja upp varanlegan parkour völl sem einnig myndi nýtast til annara æfinga.,Parkour park,The project entails setting up a permanent parkour park that could also be used for other exercise.,Tor parkourowy,"Projekt zakłada na stworzeniu stałego terenu do parkour, który byłoby przydatny również do innych aktywności."
Vesturbær,https://betrireykjavik.is/post/45749,18,,,Hundagerði í Vesturbæ,Verkið felur í sér að setja upp hundagerði á opnu svæði í hverfinu.,Dog park in Vesturbær,The project entails setting up a dog park in an open area in the neighbourhood.,Teren dla psów w Vesturbær, Projekt zakłada utworzenie miejsca do wyprowadzania psów na świeżym powietrzu w okolicy.
Vesturbær,https://betrireykjavik.is/post/45741,12,"64.145766, -21.947129",,Betrumbæta Hólavallatorg,Verkefnið felur í sér búa til lítið dvalarsvæði með gróðri og bekkjum á horni Hólatorgs og Garðastrætis. ,Improve Hólavallatorg,The project entails creating a small rest area at the corner of Hólatorg and Garðastræti with greenery and benches.,Poprawa Hólavallatorg,Projekt zakłada stworzenie małej przestrzeni rekreacyjnej na rogu Hólatorg i Garðastræti z roślinnością i ławkami. 
Miðborg,https://betrireykjavik.is/post/28828,5,"64.146160, -21.929893",,Listaverk á Hjartartorgi,Verkefnið felur í sér að gera Hjartatorgið líflegra t.d. með innsetningu eða listaverki. ,Artwork at Hjartatorg,The project entails livening up Hjartatorg with an installation or work of art.,Prace artystyczne na Hjartatorg,Projekt zakłada ożywienie Hjartatorg m.in. instalacją lub sztuką. 
Miðborg,https://betrireykjavik.is/post/28636,45,"64.140195, -21.940205",,Salernisaðstöðu í Hljómskálagarðinn,Verkefnið felur í sér að reisa salernisaðstöðu fyrir almenning í Hljómskálagarðinum.,Public toilets in Hljómskálagarður,The project entails building public washroom facilities in Hljólmskálagarður.,Toalety w Hljómskálagarður,Projekt zakłada utworzenie toalet publicznych w Hljómskálagarður.
Miðborg,https://betrireykjavik.is/post/28574,4,,,Róla og hengirúm fyrir alla aldurshópa,Verkefnið felur í sér að reisa rólu og hengirúm á leiksvæði t.d í Hljómskálagarðinum eða á völdum stað í Miðbænum. ,Swing and hammock for all ages,The project entails putting a swing and hammock in a playground e.g. in Hljómskálagarður or a select location downtown.,Huśtawka i hamak dla wszystkich kategorii wiekowych,"Projekt zakłada instalację huśtawki i hamaka na placu zabaw, np. w Hljómskálagarðurinn lub w wybranym miejscu w Miðbær. "
Miðborg,https://betrireykjavik.is/post/29099,8,"64.140477, -21.939799",,Endurbæta leikvöll í Hljómskálagarðinum,Verkefnið felur í sér að endurbæta leikvöllinn í Hljómskálagarðinum.,Improve playground in Hljómskálagarður,The project entails improving the playground in Hljómskálagarður.,Renowacja placu zabaw w Hljómskálagarður,Projekt obejmuje renowację placu zabaw w Hljómskálagarður.
Miðborg,https://betrireykjavik.is/post/54556,4,,,Fleiri hjólastæði í Miðborginni,Verkefnið felur í sér að setja upp fleiri reiðhjólastæði í íbúðahverfum í Miðborginni.,More bike parking downtown,The project entails setting up more bicycle parking in residential areas downtown.,Więcej miejsc na rowery w Miðbær,Projekt zakłada utworzenie kolejnych miejsc parkingowych dla rowerów na osiedlach mieszkaniowych w Miðbær.
Miðborg,https://betrireykjavik.is/post/45130,40,"64.142497, -21.927825",,Vistgata við Hallgrímskirkju,Verkefnið felur í sér að gera Frakkastíg fyrir framan Hallgrímskirkju að vistgötu.,Living street in front of Hallgrímskirkja,The project entails making a living street in front of Hallgrímskirkja.,Ulica zmniejszonego ruchu przy Hallgrímskirkja,Projekt zakłada zmniejszenie ruchu na ulicy przy Hallgrímskirkja.
Miðborg,https://betrireykjavik.is/post/45154,5,"64.141645, -21.924349",,Útiaðstaða við Gömlu spennistöðina,Verkefnið felur í sér að gera útiaðstöðu við Gömlu spennistöðina.,Outdoor facilities by Spennistöð,The project entails creating outdoor facilities by the old Spennistöð community centre.,Teren przy Gömluspennistöðin,Projekt zakłada poprawę wyglądu terenu wokół Starej Stacji Transformatorowej.
Miðborg,https://betrireykjavik.is/post/45170,5,"64.142884, -21.926661",,Grænt svæði við Frakkastíg (Frakkland),"Verkefnið felur í sér að gera áningarstað á lóð Frakkastígs 25, einnig þekkt sem Frakkland. ",Green area on Frakkastígur (Frakkland),The project entails creating a rest area on the lot at Frakkastígur 25.,Zielony teren przy Frakkastígur (Frakkland),Projekt zakłada utworzenie miejsca do odpoczynku na Frakkastígur 25. 
Miðborg,https://betrireykjavik.is/post/45102,8,,,Ærslabelgur í Miðborgina,Verkefnið felur í sér að setja niður ærslabelg á völdum stað í Miðborginni.,Jumping pillow downtown,The project entails installing a jumping pillow at a select location in Miðborg.,Poducha dmuchana w Miðbær,Projekt zakłada instalację poduchy dmuchanej w wybranym miejscu w Miðbær.
Miðborg,https://betrireykjavik.is/post/45136,10,"64.141088, -21.941751",,Útiæfingatæki í Hljómskálagarðinn,Verkefnið felur í sér að setja upp útiæfingatæki í Hljómskálagarðinn. ,Outdoor exercise equipment in Hljómskálagarður,The project entails setting up outdoor exercise equipment in Hljómskálagarður.,Siłownia pod chmurką w Hljómskálagarður,Projekt zakłada instalację sprzętu do ćwiczeń w Hljómskálagarður. 
Miðborg,https://betrireykjavik.is/post/45176,15,"64.143985, -21.924941",,Leik- og dvalarsvæði við Grettisgötu 30,Verkefnið felur í sér að setja upp leik- og dvalarsvæði á lóð Grettisgötu 30.,Play and rest area at Grettisgata 30,The project entails setting up a play and rest area on the lot at Grettisgata 30.,Miejsce odpoczynku i rekreacji przy Grettisgata 30,Projekt zakłada utworzenie miejsca odpoczynku i rekreacji przy Grettisgata 30.
Miðborg,https://betrireykjavik.is/post/45181,5,"64.138291, -21.922489",,Betrumbæta grænt svæði við Snorrabraut,"Verkefnið felur í endurbæta opið svæði milli Þorfinnsgötu og Snorrabrautar, t.d. með gróðri, bekkjum og bættu aðgengi.",Improve green area on Snorrabraut,"The project entails improving the space between Þorfinnsgata and Snorrabraut with greenery, benches and accessibility.",Renowacja terenu zieleni przez Snorrabraut,"Projekt zakłada renowację terenu między Þorfinnsgata a Snorrabraut: roślinność, ławki i lepszy dostęp."
Miðborg,https://betrireykjavik.is/post/45147,6,,,Róla fyrir alla aldurshópa,Verkefnið felur í sér að reisa háa rólu fyrir alla aldurshópa á völdum stað í hverfinu. ,Swing for all ages,The project entails building a high swing for all ages at a select location in the neighbourhood.,Huśtawka dla wszystkich kategorii wiekowych,Projekt zakłada instalację wysokiej huśtawki dla wszystkich kategorii wiekowych w wybranym miejscu w dzielnicy. 
Miðborg,https://betrireykjavik.is/post/45099,20,"64.141225, -21.936826","64.142134, -21.935775",Bætt aðgengi við gatnamót (í gamla bænum),Verkefnið felur í sér að breyta gatnamótum í Miðbænum til að bæta aðgengi og öryggi gangandi og hjólandi vegfaranda.,Improved accesibility at intersections (in historic centre),The project entails changing downtown intersections to improve accessibility and safety for pedestrians and cyclists.,Lepszy dostęp do skrzyżowań (na starym mieście),Projekt zakłada zmianę skrzyżowań w Miðbær w celu poprawy dostępności i bezpieczeństwa dla pieszych i rowerzystów.
Miðborg,https://betrireykjavik.is/post/45202,5,,,Skreytum hús með húsum,Verkefnið felur í sér að mála valda auða húsgafla með myndum af húsum í svipuðum stíl og þau voru í Reykjavík áður.  ,Let's decorate houses with houses,The project entails painting select blank walls with murals of houses in the old Reykjavík style. ,Dekorujmy domy domami,Projekt polega na pomalowaniu wybranych pustych szczytowych ścian obrazami domów jakie kiedyś były w Reykjaviku.  
Miðborg,https://betrireykjavik.is/post/45186,10,,,Tröll og skessur,Verkefnið felur í sér að setja upp tröll og skessur í Miðborgina til að gleðja börn og fullorðna.,Troll couples,The project entails putting up trolls and giantesses downtown to delight children and adults.,Trolle i trollice,"Projekt zakłada ustawienie w Miðbær trolli i trollic, aby uszczęśliwić dzieci i dorosłych."
Miðborg,https://betrireykjavik.is/post/45135,16,,,Parkour völlur,Verkefnið felur í sér að setja upp parkour völl á völdum stað í Miðborginni.,Parkour park,The project entails setting up a parkour park at a select downtown location.,Tor parkourowy,Projekt zakłada utworzenie toru parkourowego w wybranej lokalizacji w centrum.
Miðborg,https://betrireykjavik.is/post/45143,10,"64.140318, -21.939286","64.138634, -21.932449",Bæta lýsingu í Einarsgarði og Hljómskálagarði,Verkefnið felur í sér að bæta lýsingu í Hljómskálagarði og Einarsgarði.,Improve lighting in Einarsgarður and Hljómskálagarður,The project entails improving the lighting in Hljómskálagarður and Einarsgarður.,Zwiększenie oświetlenia w Einarsgarður oraz Hljómskálagarður,Projekt zakłada zwiększenie oświetlenia w Einarsgarður oraz Hljómskálagarður.
Miðborg,https://betrireykjavik.is/post/45198,6,,,Vindheld torg,Verkefnið felur í sér að setja upp yfirbyggða bekki í Miðborgina sem veita skjól fyrir vindi.  ,Windproof square,The project entails setting up covered benches downtown that provide shelter from the wind.,Osłonięty od wiatru plac,"Projekt zakłada ustawienie w Miðbær zabudowanych ławek, które zapewnią schronienie przed wiatrem.  "
Miðborg,https://betrireykjavik.is/post/45116,10,"64.141831, -21.924566",,Flygill í Spennistöðina,"Verkefnið felur í sér að kaupa flygil fyrir Spennistöðina, menningar og félagsmiðstöð miðborgar.",Grand piano in Spennistöð community centre,"The project entails buying a grand piano for Spennistöð, the downtown cultural and community centre.",Fortepian w Spennistöðin,"Projekt zakłada zakup fortepianu dla stacji transformatorowej, kulturalnego i społecznego centrum śródmieścia."
Miðborg,https://betrireykjavik.is/post/45217,15,,,Minnismerki um fyrstu landnámskonuna,"Verkefnið felur í sér halda samkeppni um og reisa minnismerki af Hallveigu Fróðadóttur, fyrstu landnámskonu Íslands.",Monument to the first woman settler,"The project entails holding a competition for and raising a monument to Hallveig Fróðadóttir, the first woman settler.",Pomnik pierwszej osadniczki,"Projekt obejmuje zorganizowanie konkursu i wzniesienie pomnika Hallveigi Fróðadóttir, pierwszej osadniczki Islandii."
Miðborg,https://betrireykjavik.is/post/45209,6,"64.145484, -21.932367",,Hjólageymsla í bílastæðahúsinu Bergstöðum,Verkefnið felur í sér að nýta nokkur bílastæði á neðstu hæð bílastæðahússins Bergstöðum fyrir örugg hjólastæði.,Bike parking in Bergstaðir parking garage,The project entails using a few parking spots on the bottom level of Bergstaðir parking garage for safe bicycle parking.,Przechowalnia rowerów na parkingu Bergstaðir,Projekt zakłada wykorzystanie kilku parkingów na parterze parkingu Bergstaðir do bezpiecznego parkowania rowerów.
Miðborg,https://betrireykjavik.is/post/45191,5,"64.1450133674, -21.9365751171",,Gamaldags götuljós í Miðstrætið,Verkefnið felur í sér að skipta út núverandi götuljósum í Miðstræti fyrir ný götuljós í stíl við gömlu húsin þar .  ,Old-fashioned streetlights on Miðstræti,The project entails changing the streetlamps on Miðstræti for new ones that match the style of the old houses.,Starodawne oświetlenie ulicy Miðstræti,"Projekt zakłada zastąpienie latarni ulicznych na Miðstræti, latarniami w tym samym stylu co stojące tam domy.  "
Miðborg,https://betrireykjavik.is/post/45115,15,"64.142622, -21.930927",,Einhyrningaþema á Freyjugöturóló,Verkefnið felur í sér að endurgera leiksvæðið við Freyjugötu með einhyrningaþema.,Unicorn theme on Freyjugata playground,The project entails remaking the play area on Freyjugata with a unicorn theme.,Motyw jednorożca na placu Freyjugöturóló,Projekt zakłada renowację placu zabaw przy Freyjugata z motywem jednorożca.
Miðborg,https://betrireykjavik.is/post/45190,10,,,Vatnspóstar í Miðborgina,Verkefnið felur í sér að setja upp vatnspósta á völdum stöðum í Miðborginni.,Drinking fountains downtown,The project entails setting up drinking fountains at select downtown locations.,Ujęcia wody do picia w Miðbær,Projekt zakłada instalację ujęć do picia wody w wybranych miejscach w Miðbær.
Miðborg,https://betrireykjavik.is/post/53762,1,,,Sérstakir safnkassar fyrir sprautunálar,Verkefnið felur í sér að setja upp sérstaka safnkassa fyrir sprautur og sprautunálar í Miðborginni. ,Special bins for hypodermic needle disposal,The project entails setting up special waste bins for disposing hypodermic needles downtown.,Specjalne pudełka na igły i strzykawki,Projekt zakłada stworzenie specjalnych skrzynek na strzykawki i igły w Śródmieściu. 
Hlíðar,https://betrireykjavik.is/post/28542,16,"64.135665, -21.898543","64.130691, -21.901959",Umbætur á grenndarstöðvum,Verkefnið felur í sér að endurbæta grenndarstöðvarnar við Bólstaðarhlíð og Suðurver.,Improvements to waste drop-off centres,The project entails improving the waste drop-off centres on Bólstaðarhlíð and Suðurver.,Ulepszenie miejsc do składowania śmieci,Projekt obejmuje renowację miejsc do składowania śmieci na Bólstaðarhlíð i Suðurver.
Hlíðar,https://betrireykjavik.is/post/54557,10,"64.136771, -21.916133",,Útiæfingatæki á Klambratún,Verkefnið felur í sér að stækka og bæta útiæfingaaðstöðuna á Klambratúni og bæta við nýjum tækjum.  ,Outdoor exercise equipment in Klambratún,The project entails expanding and improving the exercise facilities in Klambratún and adding new equipment.,Siłownia pod chmurką w Klambratún,Projekt obejmuje rozbudowę i udoskonalenie obiektów do ćwiczeń w Klambratún oraz dodanie nowego sprzętu.  
Hlíðar,https://betrireykjavik.is/post/28520,3,"64.134073, -21.905672",,Gróðurbætur við Miklubraut,Verkefnið felur í sér að styrkja gróðurbeltið norðan megin Hringbrautar milli Kringlumýrarbrautar og Lönguhlíðar.,Improved greenery on Miklabraut,The project entails boosting the greenbelt on the north side of Hringbraut between Kringlumýrarbraut and Lönguhlíð.,Zwiększenie roślinności na Miklabraut,Projekt zakłada rozbudowanie pasa roślinności po północnej stronie Hringbraut między Kringlumýrarbraut i Lönguhlíð.
Hlíðar,https://betrireykjavik.is/post/28591,10,"64.131165, -21.911851",,Körfuboltavöllur við Hlíðaskóla,Verkefnið felur í sér að setja nýtt yfirborðsefni og nýjar körfur á körfuboltavöllinn við Hlíðaskóla.,Basketball court at Hlíðaskóli,The project entails resurfacing the basketball court at Hlíðaskóli and installing new baskets.,Boisko do koszykówki przy Hlíðaskóli,Projekt zakłada umieszczenie nowego materiału nawierzchni i nowych koszy na boisku do koszykówki w Hlíðaskóli.
Hlíðar,https://betrireykjavik.is/post/54601,9,"64.136587, -21.914860",,Niðurgrafin trampólín á Klambratún,Verkefnið felur í sér að setja niðurgrafin trampólín á völdum stað á Klambratúni.,In-ground trampoline in Klambratún,The project entails putting an in-ground trampoline in a select location in Klambratún.,Trampolina w Klambratún,Projekt zakłada wbudowanie w ziemię trampoliny w wybranym miejscu na Klambratún.
Hlíðar,https://betrireykjavik.is/post/44858,16,,,Skjólsvæði í hverfinu,Verkefnið felur í sér að setja upp skjólgóðan áningarstað á völdum stað í Hlíðahverfi.,Sheltered area in the neighbourhood,The project entails setting up a sheltered rest area at a select location in Hlíðar.,Osłonięte od wiatru miejsce w dzielnicy,Projekt zakłada stworzenie osłoniętego miejsca odpoczynku w wybranym miejscu w Hlíðahverfi.
Hlíðar,https://betrireykjavik.is/post/44869,3,"64.135919, -21.896317",,Trjágróður meðfram Kringlumýrarbraut,Verkefnið felur í sér að styrkja gróðurinn við Kringlumýrarbraut milli Laugavegs og Miklubrautar.,Trees along Kringlumýrarbraut,The project entails boosting the greenery on Kringlumýrarbraut between Laugavegur and Miklubraut.,Drzewa wzdłuż Kringlumýrarbraut,Projekt obejmuje zwiększenie roślinności na Kringlumýrarbraut między Laugavegur i Miklubraut.
Hlíðar,https://betrireykjavik.is/post/44816,40,"64.137377, -21.915917",,Gosbrunnasvæði á Klambratún,Verkefnið felur í sér að setja upp gosbrunnasvæði  á Klambratúni.,Fountain playground in Klambratún,The project entails setting up a fountain playground in Klambratún.,Fontanna w Klambratún,Projekt zakłada instalację fontanny w Klambratún.
